,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
15222,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,3624,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,2
15219,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,5151,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,3
15221,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,3227,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15213,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,480,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15225,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,319,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15217,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,4152,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15202,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,2388,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15218,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,4534,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,3
15205,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,1829,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15223,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,9,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15203,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,2613,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15206,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,3485,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15216,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,675,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15229,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,939,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15212,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,853,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15214,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,327,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15227,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,357,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15207,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,3662,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,3
15209,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,3944,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,3
15228,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,485,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15226,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,338,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15220,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,1045,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15200,"The Lion, the Witch and the Wardrobe",C.S. Lewis,0060281952,4696,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,208.0,4.22,5
4129,Falling Up,Shel Silverstein,0060282223,2129,Poetry Childrens Fiction Humor Classics Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Kids,178.0,4.34,3
4123,Falling Up,Shel Silverstein,0060282223,1845,Poetry Childrens Fiction Humor Classics Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Kids,178.0,4.34,4
4114,Falling Up,Shel Silverstein,0060282223,3032,Poetry Childrens Fiction Humor Classics Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Kids,178.0,4.34,2
4127,Falling Up,Shel Silverstein,0060282223,2042,Poetry Childrens Fiction Humor Classics Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Kids,178.0,4.34,2
4119,Falling Up,Shel Silverstein,0060282223,1713,Poetry Childrens Fiction Humor Classics Young Adult Childrens Picture Books Childrens Juvenile Childrens Middle Grade Kids,178.0,4.34,3
8508,Runny Babbit: A Billy Sook,Shel Silverstein,0060284048,1845,Poetry Childrens Childrens Picture Books Humor Fiction Animals Classics Childrens Juvenile Fantasy Kids,96.0,4.12,4
